Country,Air Quality
Albania,0
Algeria,1
Andorra,0
Angola,3
Argentina,0
Armenia,1
Australia,0
Austria,0
Azerbaijan,0
Bahrain,3
Bangladesh,3
Belarus,0
Belgium,0
Belize,0
Bermuda,0
Bolivia,1
Bosnia and Herzegovina,1
Brazil,1
Brunei,0
Bulgaria,0
Burkina Faso,1
Cambodia,0
Canada,1
Cape Verde,0
Cayman Islands,0
Central African Republic,3
Chad,1
Chile,3
China,2
Colombia,1
Costa Rica,0
Croatia,0
Cyprus,1
Czech Republic,1
Denmark,0
Dominican Republic,0
Ecuador,1
Egypt,1
El Salvador,1
Estonia,0
Ethiopia,2
Finland,0
France,1
French Guiana,0
Gabon,3
Gambia,0
Georgia,1
Germany,1
Ghana,1
Gibraltar,0
Greece,0
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,0
Honduras,0
Hong Kong,1
Hungary,0
Iceland,0
India,2
Indonesia,1
Iran,2
Iraq,2
Ireland,0
Israel,1
Italy,1
Ivory Coast,1
Japan,1
Jersey,0
Jordan,0
Kazakhstan,1
Kenya,1
Kosovo,0
Kuwait,3
Kyrgyzstan,1
Laos,0
Latvia,0
Lebanon,1
Liberia,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
Macao,1
Macedonia,0
Madagascar,1
Malaysia,1
Malta,0
Martinique,0
Mexico,1
Moldova,0
Monaco,0
Mongolia,1
Montenegro,0
Myanmar,0
Nepal,1
Netherlands,0
New Caledonia,0
New Zealand,0
Nigeria,3
Norway,0
Pakistan,1
Palestinian Territory,1
Peru,1
Philippines,1
Poland,1
Portugal,0
Puerto Rico,0
Qatar,2
Reunion,0
Romania,1
Russia,3
San Marino,0
Saudi Arabia,4
Senegal,0
Serbia,1
Singapore,0
Slovakia,0
Slovenia,0
South Africa,1
South Korea,1
Spain,1
Sri Lanka,0
Sudan,1
Sweden,0
Switzerland,0
Taiwan,1
Tajikistan,1
Thailand,3
Togo,1
Trinidad and Tobago,0
Turkey,1
Turkmenistan,1
Uganda,3
Ukraine,1
UAE,3
Uk,1
USA,3
Uzbekistan,1
Vatican,0
Venezuela,0
Vietnam,1
Zambia,3
