,Country,Air Quality
0,Albania,0
1,Algeria,1
2,Andorra,0
3,Angola,3
4,Argentina,0
5,Armenia,1
6,Australia,0
7,Austria,0
8,Azerbaijan,0
9,Bahrain,3
10,Bangladesh,3
11,Belarus,0
12,Belgium,0
13,Belize,0
14,Bermuda,0
15,Bolivia,1
16,Bosnia and Herzegovina,1
17,Brazil,1
18,Brunei,0
19,Bulgaria,0
20,Burkina Faso,1
21,Cambodia,0
22,Canada,1
23,Cape Verde,0
24,Cayman Islands,0
25,Central African Republic,3
26,Chad,1
27,Chile,3
28,China,2
29,Colombia,1
30,Costa Rica,0
31,Croatia,0
32,Cyprus,1
33,Czech Republic,1
34,Denmark,0
35,Dominican Republic,0
36,Ecuador,1
37,Egypt,1
38,El Salvador,1
39,Estonia,0
40,Ethiopia,2
41,Finland,0
42,France,1
43,French Guiana,0
44,Gabon,3
45,Gambia,0
46,Georgia,1
47,Germany,1
48,Ghana,1
49,Gibraltar,0
50,Greece,0
51,Grenada,0
52,Guadeloupe,0
53,Guam,0
54,Guatemala,0
55,Honduras,0
56,Hong Kong,1
57,Hungary,0
58,Iceland,0
59,India,2
60,Indonesia,1
61,Iran,2
62,Iraq,2
63,Ireland,0
64,Israel,1
65,Italy,1
66,Ivory Coast,1
67,Japan,1
68,Jersey,0
69,Jordan,0
70,Kazakhstan,1
71,Kenya,1
72,Kosovo,0
73,Kuwait,3
74,Kyrgyzstan,1
75,Laos,0
76,Latvia,0
77,Lebanon,1
78,Liberia,0
79,Liechtenstein,0
80,Lithuania,0
81,Luxembourg,0
82,Macao,1
83,Macedonia,0
84,Madagascar,1
85,Malaysia,1
86,Malta,0
87,Martinique,0
88,Mexico,1
89,Moldova,0
90,Monaco,0
91,Mongolia,1
92,Montenegro,0
93,Myanmar,0
94,Nepal,1
95,Netherlands,0
96,New Caledonia,0
97,New Zealand,0
98,Nigeria,3
99,Norway,0
100,Pakistan,1
101,Palestinian Territory,1
102,Peru,1
103,Philippines,1
104,Poland,1
105,Portugal,0
106,Puerto Rico,0
107,Qatar,2
108,Reunion,0
109,Romania,1
110,Russia,3
111,San Marino,0
112,Saudi Arabia,4
113,Senegal,0
114,Serbia,1
115,Singapore,0
116,Slovakia,0
117,Slovenia,0
118,South Africa,1
119,South Korea,1
120,Spain,1
121,Sri Lanka,0
122,Sudan,1
123,Sweden,0
124,Switzerland,0
125,Taiwan,1
126,Tajikistan,1
127,Thailand,3
128,Togo,1
129,Trinidad and Tobago,0
130,Turkey,1
131,Turkmenistan,1
132,Uganda,3
133,Ukraine,1
134,United Arab Emirates,3
135,United Kingdom of Great Britain and Northern Ireland,1
136,USA,3
137,Uzbekistan,1
138,Vatican,0
139,Venezuela,0
140,Vietnam,1
141,Zambia,3
