,country,corruption_score
0,Afghanistan,24
1,Albania,36
2,Algeria,33
3,Angola,33
4,Argentina,38
5,Armenia,46
6,Australia,75
7,Austria,71
8,Azerbaijan,23
9,Bahamas,64
10,Bahrain,44
11,Bangladesh,25
12,Barbados,65
13,Belarus,39
14,Belgiun,73
15,Benin,43
16,Bhutan,68
17,Bolivia,31
18,Bosnia and Herzegovina,34
19,Botswana,60
20,Brazil,38
21,Bulgaria,43
22,Burkina Faso,42
23,Burundi,17
24,Cabo Verde,60
25,Cambodia,24
26,Cameroon,26
27,Canada,74
28,Central African Republic,24
29,Chad,19
30,Chile,67
31,China,45
32,Colombia,39
33,Comoros,19
34,Congo,21
35,Costa Rica,54
36,Cote d'Ivoire,37
37,Croatia,50
38,Cuba,45
39,Cyprus,52
40,Czechia,56
41,DRC,20
42,Denmark,90
43,Djibouti,30
44,Dominica,55
45,Dominican Republic,32
46,Ecuador,36
47,Egypt,30
48,El Salvador,33
49,Equatorial Guinea,17
50,Eritrea,22
51,Estonia,74
52,Eswatini,30
53,Ethiopia,38
54,Fiji,53
55,Finland,87
56,France,72
57,Gabon,29
58,Gambia,34
59,Georgia,56
60,Germany,79
61,Ghana,43
62,Greece,52
63,Grenada,52
64,Guatemala,24
65,Guinea,25
66,Guinea-Bissau,21
67,Guyana,40
68,Haiti,17
69,Honduras,23
70,Hong Kong,76
71,Hungary,42
72,Iceland,74
73,India,40
74,Indonesia,34
75,Iran,25
76,Iraq,23
77,Ireland,77
78,Israel,63
79,Italy,56
80,Jamaica,44
81,Japan,73
82,Jordan,47
83,Kazakhstan,36
84,Kenya,32
85,Kosovo,41
86,Kuwait,42
87,Kyrgyzstan,27
88,Laos,31
89,Latvia,59
90,Lebanon,24
91,Lesotho,37
92,Liberia,26
93,Libya,17
94,Lithuania,62
95,Luxembourg,77
96,Madagascar,26
97,Malawi,34
98,Malaysia,47
99,Maldives,40
100,Mali,28
101,Malta,21
102,Mauritania,30
103,Mauritius,50
104,Mexico,31
105,Moldova,39
106,Mongolia,33
107,Montenegro,45
108,Morocco,38
109,Mozambique,26
110,Myanmar,23
111,Namibia,49
112,Nepal,34
113,Netherlands,80
114,New Zealand,87
115,Nicaragua,19
116,Niger,32
117,Nigeria,24
118,North Korea,17
119,North Macedonia,40
120,Norway,84
121,Oman,44
122,Pakistan,27
123,Panama,36
124,Papua New Guinea,30
125,Paraguay,28
126,Peru,36
127,Philippines,33
128,Poland,55
129,Portugal,62
130,Qatar,58
131,Romania,46
132,Russia,28
133,Rwanda,51
134,Saint Lucia,55
135,Saint Vincent and the Grenadines,60
136,Sao Tome and Principe,45
137,Saudi Arabia,51
138,Senegal,43
139,Serbia,36
140,Seychelles,70
141,Sierra Leone,34
142,Singapore,83
143,Slovakia,53
144,Slovenia,56
145,Solomon Islands,42
146,Somalia,12
147,South Africa,43
148,South Korea,63
149,South Sudan,13
150,Spain,60
151,Sri Lanka,36
152,Sudan,22
153,Suriname,40
154,Sweden,83
155,Switzerland,82
156,Syria,13
157,Taiwan,68
158,Tajikistan,24
159,Tanzania,38
160,Thailand,36
161,Timor-Leste,42
162,Togo,30
163,Trinidad and Tobago,42
164,Tunisia,40
165,Turkey,36
166,Turkmenistan,19
167,Uganda,26
168,Ukraine,33
169,UAE,67
170,UK,73
171,USA,69
172,Uruguay,73
173,Uzbekistan,31
174,Vanuatu,48
175,Venezuela,14
176,Vietnam,42
177,Yemen,16
178,Zambia,33
179,Zimbabwe,23
