,country,score
0,Afghanistan,2.85
1,Albania,6.08
2,Algeria,3.77
3,Angola,3.66
4,Argentina,6.95
5,Armenia,5.35
6,Australia,8.96
7,Austria,8.16
8,Azerbaijan,2.68
9,Bahrain,2.49
10,Bangladesh,5.99
11,Belarus,2.59
12,Belgium,7.51
13,Benin,4.58
14,Bhutan,5.71
15,Bolivia,5.08
16,Botswana,7.62
17,Brazil,6.92
18,Bulgaria,6.71
19,Burkina Faso,3.73
20,Burundi,2.14
21,Cambodia,3.1
22,Cameroon,2.77
23,Canada,9.24
24,Central African Republic,1.32
25,Chad,1.55
26,Chile,8.28
27,China,2.27
28,Colombia,7.04
29,Comoros,3.09
30,Costa Rica,8.16
31,Croatia,6.5
32,Cuba,2.84
33,Cyprus,7.56
34,Czech Republic,7.67
35,DR Congo,1.13
36,Denmark,9.15
37,Djibouti,2.71
38,Dominican Republic,6.32
39,Ecuador,6.13
40,Egypt,2.93
41,El Salvador,5.9
42,Equatorial Guinea,1.92
43,Eritrea,2.15
44,Estonia,7.84
45,Ethiopia,3.38
46,Fiji,5.72
47,Finland,9.2
48,France,7.99
49,Gabon,3.54
50,Gambia,4.49
51,Georgia,5.31
52,Germany,8.67
53,Ghana,6.5
54,Greece,7.39
55,Guatemala,4.97
56,Guinea,3.08
57,Guinea-Bissau,2.63
58,Guyana,6.01
59,Haiti,4.22
60,Honduras,5.36
61,Hong Kong,5.57
62,Hungary,6.56
63,Iceland,9.37
64,India,6.61
65,Indonesia,6.3
66,Iran,2.2
67,Iraq,3.62
68,Ireland,9.05
69,Israel,7.84
70,Italy,7.74
71,Ivory Coast,4.11
72,Jamaica,7.13
73,Japan,8.13
74,Jordan,3.62
75,Kazakhstan,3.14
76,Kenya,5.05
77,Kuwait,3.8
78,Kyrgyzstan,4.21
79,Laos,1.77
80,Latvia,7.24
81,Lebanon,4.16
82,Lesotho,6.3
83,Liberia,5.32
84,Libya,1.95
85,Lithuania,7.13
86,Luxembourg,8.68
87,Madagascar,5.7
88,Malawi,5.74
89,Malaysia,7.19
90,Mali,3.93
91,Malta,7.68
92,Mauritania,3.92
93,Mauritius,8.14
94,Mexico,6.07
95,Moldova,5.78
96,Mongolia,6.48
97,Montenegro,5.77
98,Morocco,5.04
99,Mozambique,3.51
100,Myanmar,3.04
101,Namibia,6.52
102,Nepal,5.22
103,Netherlands,8.96
104,New Zealand,9.25
105,Nicaragua,3.6
106,Niger,3.29
107,Nigeria,4.1
108,North Korea,1.08
109,North Macedonia,5.89
110,Norway,9.81
111,Oman,3.0
112,Pakistan,4.31
113,Palestine,3.83
114,Panama,7.18
115,Papua New Guinea,6.1
116,Paraguay,6.18
117,Peru,6.53
118,Philippines,6.56
119,Poland,6.85
120,Portugal,7.9
121,Qatar,3.24
122,Republic of the Congo,3.11
123,Romania,6.4
124,Russia,3.31
125,Rwanda,3.1
126,Saudi Arabia,2.08
127,Senegal,5.67
128,Serbia,6.22
129,Sierra Leone,4.86
130,Singapore,6.03
131,Slovakia,6.97
132,Slovenia,7.54
133,South Africa,7.05
134,South Korea,8.01
135,Spain,8.12
136,Sri Lanka,6.14
137,Sudan,2.54
138,Suriname,6.82
139,Sweden,9.26
140,Switzerland,8.83
141,Syria,1.43
142,Taiwan,8.94
143,Tajikistan,1.94
144,Tanzania,5.1
145,Thailand,6.04
146,Timor-Leste,7.06
147,Togo,2.8
148,Trinidad and Tobago,7.16
149,Tunisia,6.59
150,Turkey,4.48
151,Turkmenistan,1.72
152,Uganda,4.94
153,Ukraine,5.81
154,UAE,2.7
155,Uk,8.54
156,USA,7.92
157,Uruguay,8.61
158,Uzbekistan,2.12
159,Venezuela,2.76
160,Vietnam,2.94
161,Yemen,1.95
162,Zambia,4.86
163,Zimbabwe,3.16
164,eSwatini,3.08
