,country,Family size
0,Afghanistan (Islamic Republic of),8.04
1,Albania,3.3
2,Angola,4.82
3,Argentina,3.26
4,Armenia,3.54
5,Aruba,2.89
6,Australia,2.55
7,Austria,2.88
8,Austria,2.27
9,Azerbaijan,4.55
10,Bahamas,3.4
11,Bangladesh,4.47
12,Belarus,2.48
13,Belgium,2.36
14,Benin,5.19
15,Bolivia,3.53
16,Botswana,3.52
17,Brazil,3.31
18,Bulgaria,2.34
19,Burkina Faso,5.92
20,Burundi,4.83
21,Cambodia,4.61
22,Cameroon,4.99
23,Canada,2.45
24,Central African Republic,4.91
25,Chad,5.78
26,Chile,3.58
27,China,3.32
28,Colombia,3.53
29,Comoros,5.37
30,Congo,4.31
31,Costa Rica,3.46
32,Cote dIvoire (Ivory Coast),5.09
33,Croatia,2.8
34,Cuba,3.14
35,Cyprus,2.75
36,Czech Republic,2.4
37,DRC,5.3
38,Dominican Republic,3.48
39,Ecuador,3.78
40,Egypt,4.13
41,El Salvador,4.07
42,Estonia,2.3
43,Ethiopia,4.61
44,Fiji,4.57
45,Finland,1.93
46,France,2.22
47,French Guiana,3.45
48,Gabon,4.1
49,Gambia,8.23
50,Georgia,3.34
51,Germany,1.91
52,Ghana,3.49
53,Greece,2.44
54,Guadeloupe,2.3
55,Guatemala,4.81
56,Guyana,3.8
57,Haiti,4.29
58,Honduras,4.47
59,Hong Kong,2.83
60,Hungary,2.6
61,India,4.57
62,Indonesia,3.86
63,Iran (Islamic Republic of),3.49
64,Iraq,7.7
65,Ireland,2.77
66,Isle of Man,2.28
67,Israel,3.28
68,Italy,2.4
69,Jamaica,3.06
70,Japan,2.33
71,Jordan,4.72
72,Kazakhstan,3.5
73,Kenya,3.64
74,Kyrgyzstan,4.21
75,Laos,5.77
76,Latvia,2.58
77,Lesotho,3.34
78,Liberia,4.95
79,Liechtenstein,2.32
80,Lithuania,2.32
81,Luxembourg,2.41
82,Macao,3.07
83,Madagascar,4.95
84,Malawi,4.51
85,Malaysia,4.57
86,Maldives,5.4
87,Maldives,5.33
88,Maldives,6.36
89,Mali,5.81
90,Malta,2.85
91,Martinique,2.25
92,Mauritius,3.48
93,Mayotte,4.1
94,Mexico,3.74
95,Moldova,2.89
96,Mongolia,4.32
97,Montenegro,3.21
98,Morocco,5.24
99,Mozambique,4.37
100,Myanmar,4.22
101,Namibia,4.24
102,Nepal,4.24
103,Netherlands,2.23
104,New Zealand,2.67
105,Nicaragua,4.92
106,Niger,5.92
107,Nigeria,4.9
108,North Korea,3.93
109,Norway,2.22
110,Oman,8.02
111,Pakistan,6.8
112,Palestine,5.48
113,Panama,3.67
114,Papua New Guinea,5.43
115,Paraguay,4.63
116,Peru,3.75
117,Philippines,4.23
118,Poland,2.81
119,Portugal,2.66
120,Puerto Rico,2.67
121,Reunion,2.64
122,Romania,2.88
123,Russia,2.58
124,Rwanda,4.26
125,Saint Kitts and Nevis,2.41
126,Saint-Barthelemy,2.42
127,Saint-Martin (French part),2.56
128,Samoa,6.75
129,Sao Tome and Principe,3.84
130,Senegal,8.33
131,Serbia,2.88
132,Seychelles,2.33
133,Sierra Leone,5.9
134,Singapore,3.29
135,Sint Maarten (Dutch part),2.58
136,Slovakia,2.8
137,Slovenia,2.47
138,Slovenia,2.47
139,South Africa,3.36
140,South Korea,2.53
141,South Sudan,5.95
142,Spain,2.69
143,Sudan,5.59
144,Suriname,3.94
145,Swaziland,4.74
146,Switzerland,1.97
147,Tajikistan,5.99
148,Tanzania,4.85
149,Thailand,3.69
150,Timor-Leste,5.27
151,Togo,4.55
152,Tokelau,5.24
153,Trinidad and Tobago,3.29
154,Turkey,4.07
155,Uganda,4.53
156,Ukraine,2.46
157,UAE,6.3
158,UK,2.4
159,USA,2.52
160,Uruguay,2.78
161,Uzbekistan,5.24
162,Venezuela,4.33
163,Viet Nam,3.78
164,Yemen,6.67
165,Zambia,5.13
166,Zimbabwe,4.08
