,country,gendEqal2021
0,Afghanistan,0.444
1,Albania,0.77
2,Algeria,0.633
3,Angola,0.657
4,Argentina,0.752
5,Armenia,0.673
6,Australia,0.731
7,Austria,0.777
8,Azerbaijan,0.688
9,Bahamas,0.725
10,Bahrain,0.632
11,Bangladesh,0.719
12,Barbados,0.769
13,Belarus,0.758
14,Belgium,0.789
15,Belize,0.699
16,Benin,0.653
17,Bhutan,0.639
18,Bolivia,0.722
19,Bosnia And Herzegovina,0.713
20,Botswana,0.716
21,Brazil,0.695
22,Brunei,0.678
23,Bulgaria,0.746
24,Burkina Faso,0.651
25,Burundi,0.769
26,Cambodia,0.684
27,Cameroon,0.692
28,Canada,0.772
29,Cape Verde,0.716
30,Chad,0.593
31,Chile,0.716
32,China,0.682
33,Colombia,0.725
34,Costa Rica,0.786
35,Croatia,0.733
36,Cuba,0.746
37,Cyprus,0.707
38,Czech Republic,0.711
39,DRC,0.576
40,Denmark,0.768
41,Dominican Republic,0.699
42,Ecuador,0.739
43,Egypt,0.639
44,El Salvador,0.738
45,Estonia,0.733
46,Eswatini,0.729
47,Ethiopia,0.691
48,Fiji,0.674
49,Finland,0.861
50,France,0.784
51,Gambia,0.644
52,Georgia,0.732
53,Germany,0.796
54,Ghana,0.666
55,Greece,0.689
56,Guatemala,0.655
57,Guinea,0.66
58,Guyana,0.728
59,Honduras,0.716
60,Hungary,0.688
61,Iceland,0.892
62,India,0.625
63,Indonesia,0.688
64,Iran,0.582
65,Iraq,0.535
66,Ireland,0.8
67,Israel,0.724
68,Italy,0.721
69,Ivory Coast,0.637
70,Jamaica,0.741
71,Japan,0.656
72,Jordan,0.638
73,Kazakhstan,0.71
74,Kenya,0.692
75,Kuwait,0.621
76,Kyrgyzstan,0.681
77,Laos,0.75
78,Latvia,0.778
79,Lebanon,0.638
80,Lesotho,0.698
81,Liberia,0.693
82,Lithuania,0.804
83,Luxembourg,0.726
84,Madagascar,0.725
85,Malawi,0.671
86,Malaysia,0.676
87,Maldives,0.642
88,Mali,0.591
89,Malta,0.703
90,Mauritania,0.606
91,Mauritius,0.679
92,Mexico,0.757
93,Moldova,0.768
94,Mongolia,0.716
95,Montenegro,0.732
96,Morocco,0.612
97,Mozambique,0.758
98,Myanmar,0.681
99,Namibia,0.809
100,Nepal,0.683
101,Netherlands,0.762
102,New Zealand,0.84
103,Nicaragua,0.796
104,Niger,0.629
105,Nigeria,0.627
106,North Macedonia,0.715
107,Norway,0.849
108,Oman,0.608
109,Pakistan,0.556
110,Panama,0.737
111,Papua New Guinea,0.635
112,Paraguay,0.702
113,Peru,0.721
114,Philippines,0.784
115,Poland,0.713
116,Portugal,0.775
117,Qatar,0.624
118,Romania,0.7
119,Russia,0.708
120,Rwanda,0.805
121,Saudi Arabia,0.603
122,Senegal,0.684
123,Serbia,0.78
124,Sierra Leone,0.655
125,Singapore,0.727
126,Slovakia,0.712
127,Slovenia,0.741
128,South Africa,0.781
129,South Korea,0.687
130,Spain,0.788
131,Sri Lanka,0.67
132,Suriname,0.729
133,Sweden,0.823
134,Switzerland,0.798
135,Syria,0.568
136,Tajikistan,0.65
137,Tanzania,0.707
138,Thailand,0.71
139,Togo,0.683
140,Trinidad And Tobago,0.749
141,Tunisia,0.649
142,Turkey,0.638
143,Uganda,0.717
144,Ukraine,0.714
145,UAE,0.716
146,UK,0.775
147,USA,0.763
148,Uruguay,0.702
149,Vanuatu,0.625
150,Venezuela,0.699
151,Vietnam,0.701
152,Yemen,0.492
153,Zambia,0.726
154,Zimbabwe,0.732
