,country,gini
0,Albania,33.2
1,Algeria,27.6
2,Angola,51.3
3,Argentina,42.9
4,Armenia,29.9
5,Australia,34.4
6,Austria,30.8
7,Azerbaijan,26.6
8,Bangladesh,32.4
9,Belarus,25.3
10,Belgium,27.2
11,Belize,53.3
12,Benin,47.8
13,Bhutan,37.4
14,Bolivia,41.6
15,Bosnia and Herzegovina,33.0
16,Botswana,53.3
17,Brazil,53.4
18,Bulgaria,41.3
19,Burkina Faso,35.3
20,Burundi,38.6
21,Cameroon,46.6
22,Canada,33.3
23,Central African Republic,56.2
24,Chad,43.3
25,Chile,44.4
26,China,38.5
27,Colombia,51.3
28,Comoros,45.3
29,Costa Rica,48.2
30,Croatia,29.7
31,Cyprus,32.7
32,Czech Republic,25.0
33,DRC,42.1
34,Denmark,28.2
35,Djibouti,41.6
36,Dominican Republic,41.9
37,Ecuador,45.7
38,Egypt,31.5
39,El Salvador,38.8
40,Estonia,30.3
41,Eswatini,54.6
42,Ethiopia,35.0
43,Fiji,36.7
44,Finland,27.3
45,France,32.4
46,Gabon,38.0
47,Gambia,35.9
48,Georgia,35.9
49,Germany,31.9
50,Ghana,43.5
51,Greece,32.9
52,Guatemala,48.3
53,Guinea,33.7
54,Guinea-Bissau,50.7
55,Guyana,45.1
56,Haiti,41.1
57,Honduras,48.2
58,Hungary,29.6
59,Iceland,26.1
60,India,35.7
61,Indonesia,38.2
62,Iran,42.0
63,Iraq,29.5
64,Ireland,31.4
65,Israel,39.0
66,Italy,35.9
67,Ivory Coast,41.5
68,Jamaica,45.5
69,Japan,32.9
70,Jordan,33.7
71,Kazakhstan,27.8
72,Kenya,40.8
73,Kiribati,37.0
74,Kyrgyzstan,29.7
75,Laos,38.8
76,Latvia,35.1
77,Lebanon,31.8
78,Lesotho,44.9
79,Liberia,35.3
80,Lithuania,35.7
81,Luxembourg,35.4
82,Madagascar,42.6
83,Malawi,44.7
84,Malaysia,41.1
85,Maldives,31.3
86,Mali,33.0
87,Malta,28.7
88,Mauritania,32.6
89,Mauritius,36.8
90,Mexico,45.4
91,Micronesia,40.1
92,Moldova,25.7
93,Mongolia,32.7
94,Montenegro,38.5
95,Morocco,39.5
96,Mozambique,54.0
97,Myanmar,30.7
98,Namibia,59.1
99,Nauru,34.8
100,Nepal,32.8
101,Netherlands,28.1
102,Nicaragua,46.2
103,Niger,34.3
104,Nigeria,35.1
105,North Macedonia,33.0
106,Norway,27.6
107,Pakistan,31.6
108,Palestine,33.7
109,Panama,49.8
110,Papua New Guinea,41.9
111,Paraguay,45.7
112,Peru,41.5
113,Philippines,42.3
114,Poland,30.2
115,Portugal,33.5
116,Republic of the Congo,48.9
117,Romania,35.8
118,Russia,37.5
119,Rwanda,43.7
120,Samoa,38.7
121,Sao Tome and Principe,56.3
122,Senegal,40.3
123,Serbia,36.2
124,Seychelles,32.1
125,Sierra Leone,35.7
126,Slovenia,24.6
127,Solomon Islands,37.1
128,Somalia,36.8
129,South Africa,63.0
130,South Korea,31.4
131,South Sudan,44.1
132,Spain,34.7
133,Sri Lanka,39.3
134,Sudan,34.2
135,Suriname,57.9
136,Sweden,30.0
137,Switzerland,33.1
138,Syria,37.5
139,Tajikistan,34.0
140,Tanzania,40.5
141,Thailand,34.9
142,Timor-Leste,28.7
143,Togo,43.1
144,Tonga,37.6
145,Trinidad and Tobago,40.3
146,Tunisia,32.8
147,Turkey,41.9
148,Turkmenistan,40.8
149,Tuvalu,39.1
150,Uganda,42.8
151,Ukraine,26.6
152,UAE,26.0
153,UK,35.1
154,USA,41.4
155,Uruguay,39.7
156,Uzbekistan,35.3
157,Vanuatu,37.6
158,Venezuela,44.8
159,Vietnam,35.7
160,Yemen,36.7
161,Zambia,57.1
162,Zimbabwe,50.3
